PC,CVR,Predictor,Beta,p,p_fdr
PC1,F3chol,F3chol,0.02219462498013846,0.894075060022155,0.894075060022155
PC1,F3chol,Sex,-0.17581807601075106,0.8107475468049588,0.9109130454089098
PC1,F3chol,Interaction,0.3072006576513239,0.6697822764867539,0.7503253370856175
PC1,F3chol,F3age,0.2149454785565365,0.11365036977581923,0.2513995829887634
PC1,F3chol,volumes,-0.2368362123426727,0.08199838118726199,0.16517901990144884
PC2,F3chol,Intercept,-0.12414643006990209,0.17520509083268346,0.25085835595015654
PC2,F3chol,F3chol,-0.15287391883803816,0.20075842714685518,0.20075842714685518
PC2,F3chol,Sex,-0.3192089517692805,0.5432559730207863,0.6111629696483847
PC2,F3chol,Interaction,0.29743152565591746,0.5636169803253649,0.6340691028660356
PC2,F3chol,F3age,0.07460928561902802,0.44080848102927184,0.4802751267832548
PC2,F3chol,volumes,-0.26595338091006054,0.006700174812289939,0.008614510472944207
PC1,F3trig,Intercept,0.2018949165626777,0.11038435552166902,0.17856850206609448
PC1,F3trig,F3trig,-0.1491490945117394,0.35688409075394234,0.35688409075394234
PC1,F3trig,Sex,-0.25045453159575354,0.4329697173392405,0.9109130454089098
PC1,F3trig,Interaction,0.43626334547264656,0.1885927947832616,0.5657783843497849
PC1,F3trig,F3age,0.1667369563374582,0.204936877038903,0.2513995829887634
PC1,F3trig,volumes,-0.16995748466597255,0.1965998892006481,0.1965998892006481
PC2,F3trig,Intercept,-0.10336705844821803,0.2493407190557248,0.25152523174675817
PC2,F3trig,F3trig,-0.1130787189543322,0.3260460684148201,0.3260460684148201
PC2,F3trig,Sex,-0.3336535685024948,0.1429081251067116,0.39480903187874516
PC2,F3trig,Interaction,0.40437830163005245,0.08723237074795703,0.38622716790816936
PC2,F3trig,F3age,0.06754169645594262,0.4693749099127822,0.4802751267832548
PC2,F3trig,volumes,-0.24129554052301314,0.010587548842366077,0.010587548842366077
