AgeGroup,Metric,Layer,Beta_Age,p_Age,Beta_logVol,p_logVol,p_Age_FDR,p_logVol_FDR
<50,ICVF,Outer1,1.334320214466587,0.005868099733061018,-0.566677152601971,0.004529297175098758,0.052200665844201605,0.021949670925478598
<50,ICVF,Outer2,1.1735743555945577,0.0074519246718641845,-0.19868482730282325,0.26414155663165234,0.052200665844201605,0.4160229516948525
<50,ICVF,Outer3,1.102554636117336,0.007457237977743086,-0.006310557143462125,0.969796208444556,0.052200665844201605,0.9751535807740714
<50,ICVF,Outer4,0.8573210643829849,0.03354858100066179,0.08231928952242956,0.6163916998261413,0.11742003350231628,0.7611476031139262
<50,ICVF,Outer5,0.7008411458885516,0.08368977236889505,0.0896190881771015,0.5886250946723692,0.18180881583587546,0.7457124685593453
<50,OD,Center,,,,,,
<50,OD,Inner2,-1.3653982820568475,0.0779786745624887,-0.2133747268811919,0.7519764092755281,0.17845331286939345,0.8459734604349691
<50,OD,Inner1,-0.7141871449146983,0.21967826095332835,-0.3025065005014442,0.20676650881339842,0.3008637052186888,0.35667892808013557
<50,OD,Outer1,-0.5572543030543594,0.3509950483915004,-0.24794431116020474,0.31364104978572105,0.4335821186012652,0.4814223503640209
<50,OD,Outer2,-0.6597312110892403,0.2696722509129984,-0.1653932098987515,0.5006753478993597,0.3467214654595694,0.7009454870591036
<50,OD,Outer3,-0.8303381719432571,0.1404048704725744,-0.028942708712273838,0.9001376814951045,0.2157440692627363,0.9640024573849981
<50,OD,Outer4,-0.8209371242961705,0.11501331347634497,0.12079670168730744,0.5711797898435842,0.19583347970296575,0.7457124685593453
<50,OD,Outer5,-0.795514126192897,0.10786374265841585,0.2549962583758201,0.20947810061849234,0.19415473678514852,0.35667892808013557
<50,MD,Center,,,,,,
<50,MD,Inner2,0.02639377312953769,0.9735642657922516,1.3081208408874083,0.07294200563188538,0.9735642657922516,0.17674409056956844
<50,MD,Inner1,0.9399003469870056,0.04168112259081648,0.09110734047455689,0.6282488152686374,0.13820582753797045,0.7611476031139262
