Metric,Layer,Beta_Age,p_Age_raw,p_Age_FDR,Beta_logVol,p_logVol_raw,p_logVol_FDR
ISOVF,Outer1,0.6840829042686274,5.524525785720972e-17,7.9553171314382e-16,-0.31452542582426457,7.261940352131173e-05,0.0003267873158459028
ISOVF,Outer2,0.7428483190659984,1.4639339453732898e-19,2.6350811016719217e-18,-0.4272572314058646,8.424017347655913e-08,1.0108820817187096e-06
ISOVF,Outer3,0.7530722895833916,3.827303675138415e-20,9.185528820332197e-19,-0.4338312002894157,4.770064969766956e-08,6.868893556464416e-07
ISOVF,Outer4,0.7868965127855755,2.3278734176259625e-22,8.380344303453465e-21,-0.43514376417963063,2.3372675600901828e-08,4.2070816081623293e-07
ISOVF,Outer5,0.7854034126882327,9.462694388956174e-23,6.813139960048446e-21,-0.39116159794364846,3.300242082385051e-07,2.9702178741465462e-06
ICVF,Center,0.49723675882628754,0.13599000677868503,0.1748442944297379,-0.8378283737456944,0.00037637252031276724,0.0012904200696437734
ICVF,Inner2,0.45108947412354444,4.90725020693655e-05,0.00010094914711412332,-0.36049769799945086,0.0031336020730560266,0.009024773970401356
ICVF,Inner1,0.4494403191535773,2.196933238779123e-07,6.590799716337369e-07,-0.41322062569717755,2.399160945525405e-06,1.614906777936254e-05
ICVF,Outer1,0.4015871173448622,1.2784225655955426e-06,3.4091268415881136e-06,-0.01876016583363861,0.8201739478392658,0.8201739478392658
ICVF,Outer2,0.32638545230715654,4.0154362524763026e-05,8.76095182358466e-05,0.15328038278236789,0.05458764148746122,0.10917528297492245
ICVF,Outer3,0.29055220019686656,0.0003404557468746966,0.0006809114937493932,0.14655819570253878,0.07250889403874627,0.13386257360999312
ICVF,Outer4,0.2669627362178183,0.0016149003665333905,0.003059811220800108,0.0566212689998626,0.5063027534186348,0.615818910245369
ICVF,Outer5,0.26522375112420093,0.0023415631979432886,0.004322885903895303,-0.07068820856353833,0.42056977470134116,0.5505640686999376
OD,Center,-0.09227492102623579,0.7841701990040779,0.8302978577690237,-0.6742904952931948,0.004360671709518628,0.012075706272513123
OD,Inner2,0.1527835299969462,0.17354882852893588,0.21543992507040316,-0.25923055282311763,0.0375910136406378,0.07733008520359776
OD,Inner1,0.18792541978108326,0.03299436337745939,0.04848151353422604,-0.22395337339254046,0.012318833195675404,0.03167699964602247
OD,Outer1,0.2284245912990362,0.009630076596975519,0.015758307158687212,-0.1896917323806819,0.033653489050849375,0.0726159970970365
OD,Outer2,0.2162230135502159,0.013676010676183929,0.021881617081894286,-0.05912403886576358,0.5041541864463643,0.615818910245369
OD,Outer3,0.17473427892749602,0.03974751659343237,0.057236423894542615,0.13308325901448245,0.12184785274322558,0.19938739539800548
OD,Outer4,0.14268231859828423,0.07866771264605661,0.1068693454814354,0.2800884575148017,0.0007182451005168376,0.0023506203289641956
OD,Outer5,0.11445224046401689,0.14603235757980648,0.18446192536396608,0.36073595689789417,8.332207194626615e-06,4.614760907793202e-05
MD,Center,-0.07419129022438667,0.8252701840415972,0.8611514963912319,0.729153085846674,0.00207269724180881,0.00621809172542643
MD,Inner2,-0.04096009862951028,0.7038971425596955,0.7797014502199704,0.4533681376833833,0.00018267987402326087,0.0006922605752460412
MD,Inner1,0.26409046912025114,0.0014413347386753716,0.002804759491476399,0.12085498282967509,0.1477910620941892,0.22168659314128383
MD,Outer1,0.3601962692118233,3.806566387067791e-05,8.56477437090253e-05,-0.331001080159467,0.00018241462387274187,0.0006922605752460412
MD,Outer2,0.47269778276560964,2.6410584113786446e-08,1.0008221348382232e-07,-0.5683391966684977,6.303047644640321e-11,2.4505881195199935e-09
MD,Outer3,0.5064186129691274,2.700003134116935e-09,1.1435307391554077e-08,-0.566379078722873,6.80718922088887e-11,2.4505881195199935e-09
MD,Outer4,0.5566680077737318,7.86185635623706e-11,4.3542589049928333e-10,-0.5181899269501833,1.9582114610653262e-09,4.699707506556783e-08
MD,Outer5,0.5665062253780331,3.6885220288029286e-11,2.2131132172817572e-10,-0.4019597279230529,2.4672186885137216e-06,1.614906777936254e-05
FA,Center,0.11312393498397882,0.7488954761446962,0.8047831982450466,0.06567332613403805,0.7869950830546785,0.8054869875600404
FA,Inner2,0.1317548073231139,0.24300227656712292,0.29160273188054747,-0.048362337997431365,0.6984279540124188,0.7505494431178231
FA,Inner1,0.004989315567506895,0.9550744076587314,0.9550744076587314,-0.05890976474499957,0.511904863949187,0.615818910245369
FA,Outer1,-0.10953114127714261,0.21478542785331292,0.26211103060065305,0.16866848954956387,0.059934761205656106,0.11356060017913788
FA,Outer2,-0.19291985248650137,0.02900920946837966,0.043513814202569494,0.17003518368434445,0.057452735117206985,0.11179991698483523
FA,Outer3,-0.2265789458334153,0.00928815072965582,0.015552252384539979,0.023527444950771567,0.7888290771073893,0.8054869875600404
FA,Outer4,-0.23830875214995634,0.0040472321843498865,0.007285017931829795,-0.14462450639579186,0.0840208732837089,0.14754885064456197
FA,Outer5,-0.2244697712282924,0.00457583487648313,0.008035612466019155,-0.2550376456556104,0.0015108379173251892,0.0047295795672788535
g_ratio,Center,0.904311745734208,0.008573475267501483,0.014697386172859685,-0.53255840073037,0.023747995264364448,0.05343298934482001
g_ratio,Inner2,0.19175354568746292,0.0693885681048993,0.09607647891447595,-0.6323332640627544,1.4016657789304668e-07,1.4417133726141943e-06
g_ratio,Inner1,0.20089207483574537,0.02062462169253065,0.0315951651460044,-0.3443640204232251,0.00010278706579249693,0.00043533345512116345
g_ratio,Outer1,0.4514038497720397,1.4327720952472496e-07,4.689072311718271e-07,-0.2106945503341907,0.013743832339413328,0.03412261822199171
g_ratio,Outer2,0.5207927206945673,1.0912632568795147e-10,5.612211035380361e-10,-0.07816602437111617,0.3237531608879012,0.43981561479111103
g_ratio,Outer3,0.4823737680429994,2.231633444744975e-10,1.0042350501352388e-09,0.07567845572044443,0.3111436161469118,0.4308142377418778
g_ratio,Outer4,0.47260541004290424,1.7745943825668195e-10,8.518053036320733e-10,0.12315540548997028,0.09106680893668787,0.15611452960575062
g_ratio,Outer5,0.49606312477659653,1.7892721086241575e-11,1.171159925644903e-10,0.10501895050969398,0.14633554784568395,0.22168659314128383
