Metric,Layer,Beta_Age_raw,PctChangePerDecade,p_Age_raw,R2_full,R2_AgeOnly,R2_VolOnly,PartialR2_Age,PartialR2_Vol,p_Age_FDR,Group,GroupCombined
MD,Outer3,1.3898523037480812e-06,1.57943998451661,2.7000031341165407e-09,0.12914815033256988,0.004606188404671641,0.02680765899490567,0.10515957331925661,0.12511828029982777,1.1435307391552408e-08,Fluid-sensitive,Fluid/Composite
MD,Outer4,1.320586845406899e-06,1.5493684607299036,7.861856356235487e-11,0.12917870963276545,0.024927949437652086,0.005521140659324852,0.12434409018551058,0.10691595573372184,4.354258904991962e-10,Fluid-sensitive,Fluid/Composite
MD,Outer5,1.2462554999028019e-06,1.486803758318404,3.6885220288019916e-11,0.13070013932413205,0.06797142525158362,0.0026330461066336186,0.12840519000310766,0.06730342370616788,2.213113217281195e-10,Fluid-sensitive,Fluid/Composite
FA,Center,0.00034423316376677336,1.398273276665934,0.7488954761447121,0.002632611041611832,0.001893019177987565,0.001594605119820014,0.001039663774970277,0.0007409945805760825,0.8047831982450637,Axon-sensitive,Axon-sensitive
FA,Inner2,0.00038932996838112735,1.4555286666822704,0.24300227656712955,0.007186582718404,0.006545372486184697,0.0013488771636981367,0.005845590538291294,0.000645434843686795,0.29160273188055547,Axon-sensitive,Axon-sensitive
FA,Inner1,1.4571537283625556e-05,0.04842462040994667,0.9550744076587248,0.003101163201265522,0.0017538273245740754,0.003091229522182881,9.964481582281374e-06,0.0013497030227327758,0.9550744076587248,Axon-sensitive,Axon-sensitive
FA,Outer1,-0.0002875822196519081,-0.7981698682705846,0.21478542785331928,0.011535939894333658,0.0004908511656326331,0.006748499226681415,0.004819968219453856,0.011050512885831873,0.2621110306006608,Axon-sensitive,Axon-sensitive
FA,Outer2,-0.0004461381109800134,-1.1104654118935446,0.029009209468381106,0.01511059356165989,0.0038857864365949846,0.0002586933969537242,0.014855743247391107,0.01126859447664173,0.04351381420257166,Axon-sensitive,Axon-sensitive
FA,Outer3,-0.00045970704280238507,-1.0753874449045904,0.009288150729656405,0.04591113278607406,0.04569622565360665,0.025424655682485975,0.021020926932985948,0.00022519782300410907,0.015552252384540957,Axon-sensitive,Axon-sensitive
FA,Outer4,-0.000438631933557907,-1.0070993010586138,0.004047232184350226,0.13769145517741943,0.12957091205514704,0.11502893707414608,0.025608202406469084,0.00932935633096269,0.007285017931830406,Axon-sensitive,Axon-sensitive
FA,Outer5,-0.00039114672042867655,-0.8961578311394306,0.004575834876483583,0.21347536799724376,0.18822254825476725,0.19336852407507288,0.024926927007299447,0.031108057618729992,0.008035612466019951,Axon-sensitive,Axon-sensitive
g_ratio,Center,0.0012488084560305264,1.8724957013023094,0.00857347526750358,0.08713010345230399,0.038495141609715455,0.02079748097136369,0.06774147450799238,0.05058212802378489,0.01469738617286328,Composite,Fluid/Composite
g_ratio,Inner2,0.0003252575189542331,0.47301965548178904,0.06938856810490891,0.13430910453920042,0.024692101197921534,0.12194404955443217,0.014082308739544023,0.11239220299139988,0.09607647891448927,Composite,Fluid/Composite
g_ratio,Inner1,0.0002941228242332823,0.42800965265371077,0.020624621692527736,0.05074127313573118,0.004701111829963134,0.03463653055845828,0.016682568884224945,0.04625762356714554,0.031595165145999936,Composite,Fluid/Composite
g_ratio,Outer1,0.0005033447145405504,0.7376652717983861,1.4327720952467125e-07,0.10436536186287415,0.08713049619674507,0.023052603076858302,0.08323146061098813,0.01887987888118082,4.6890723117165133e-07,Composite,Fluid/Composite
g_ratio,Outer2,0.0004933133446367605,0.7191867569444227,1.0912632568790545e-10,0.22527503212617794,0.22290290835882198,0.11704245750768094,0.12257959121453287,0.003052544904454848,5.612211035377995e-10,Composite,Fluid/Composite
g_ratio,Outer3,0.00042735007956453536,0.6180696564113315,2.231633444743879e-10,0.3107332501312372,0.30850970565808156,0.21788033485713199,0.11871957631591323,0.0032155830549606824,1.0042350501347456e-09,Composite,Fluid/Composite
g_ratio,Outer4,0.0003975347300542761,0.5721724094126794,1.7745943825657418e-10,0.346114843005224,0.34022629453158215,0.25698450438265397,0.11995757712766769,0.008925103296532807,8.518053036315561e-10,Composite,Fluid/Composite
g_ratio,Outer5,0.000404579132718903,0.5809004013417945,1.7892721086227358e-11,0.3558054467985263,0.351523545567905,0.25760757669064993,0.13227218789510461,0.006603017274345325,1.1711599256439724e-10,Composite,Fluid/Composite
