Metric,Degree,R2,RMSE,AIC,BIC,CV_RMSE,CV_R2,Best_R2,Best_AIC,Best_BIC,Best_CV_RMSE,Best_CV_R2,Elbow_CV_RMSE
OD,3,0.037010549797490855,0.04460164510730947,-13476.892942989361,-13454.166701539123,0.044604359415743255,0.03193667358928136,False,False,True,False,False,False
OD,4,0.03979150656503794,0.044537197399853526,-13481.162831634112,-13452.755029821314,0.04453978313269305,0.03476937828654227,False,True,False,False,False,True
OD,5,0.040199385325687675,0.044527737107357884,-13480.083953479478,-13445.994591304121,0.0445303500134653,0.03518408042265928,False,False,False,False,False,False
OD,6,0.040330858190329666,0.044524687312664325,-13478.380945052308,-13438.610022514391,0.0445273716911437,0.035315426171818556,True,False,False,True,True,False
MD,1,0.6915416058105779,9.023390216254245e-05,-40377.6247804776,-40366.26165975248,9.047292064544924e-05,0.6880031510310517,False,False,False,False,False,False
MD,2,0.7472590896799589,8.167877484413532e-05,-40807.53823963653,-40790.49355854885,8.196878447719887e-05,0.7434095182256415,False,False,False,False,False,True
MD,3,0.7503982581298276,8.116994431786027e-05,-40832.63450853236,-40809.90826708212,8.147097645957023e-05,0.7465389987771267,False,False,False,False,False,False
MD,4,0.7564585598729365,8.017849076124388e-05,-40883.92286832188,-40855.515066509084,8.048578671142543e-05,0.7526104254972313,False,False,False,False,False,False
MD,5,0.7579233225804474,7.993701320504058e-05,-40895.00152031496,-40860.9121581396,8.024883806473735e-05,0.7540736521071099,False,False,True,False,False,False
MD,6,0.7581498619332714,7.989960126172201e-05,-40895.0313204297,-40855.26039789178,8.021364919557378e-05,0.7542926030444588,True,True,False,True,True,False
FA,1,0.5379372013694905,0.05327710792039218,-12710.229647745595,-12698.866527020476,0.053174439040167845,0.539243272452243,False,False,False,False,False,False
FA,2,0.5946802689559691,0.049898674869584755,-12992.29096883987,-12975.246287752192,0.04979575483993452,0.595852622747665,False,False,False,False,False,True
FA,3,0.5984741160710945,0.04966459668200805,-13010.679308346369,-12987.95306689613,0.04956368712107863,0.5995968723196587,False,False,False,False,False,False
FA,4,0.602144690806903,0.049437069444363754,-13028.589363836314,-13000.181562023516,0.049332961487409496,0.603295652538287,False,True,True,False,False,False
FA,5,0.6024683758299239,0.049416954977333144,-13028.353911729204,-12994.264549553847,0.04931271542446462,0.603618769661634,False,False,False,False,False,False
FA,6,0.6025851785524852,0.04940969460032397,-13026.991006984439,-12987.220084446522,0.04930559903222873,0.6037327834710865,True,False,False,True,True,False
g-ratio,1,0.024609920561665,0.023703964440300734,-16221.801833011903,-16210.438712286785,0.023723949838572005,0.018839051010501828,False,False,False,False,False,False
g-ratio,2,0.032979867220472414,0.02360204194586392,-16238.48599823601,-16221.441317148332,0.023630399611988005,0.026533093529387486,False,False,True,False,False,True
g-ratio,3,0.03567729268846864,0.0235691009522668,-16242.54191135067,-16219.815669900432,0.0236008619226184,0.028918528623353333,False,False,False,False,False,False
g-ratio,4,0.03733672530990828,0.023548813047017125,-16244.275878121793,-16215.868076308994,0.02358226061870907,0.03047812179754832,False,False,False,False,False,False
g-ratio,5,0.03907644775656727,0.023527524749246582,-16246.197426387696,-16212.10806421234,0.023561758144168478,0.03217043298561484,False,True,False,False,False,False
g-ratio,6,0.03918509179334051,0.023526194675947628,-16244.442558882907,-16204.67163634499,0.02356099422264968,0.03223177686934324,True,False,False,True,True,False
